green	filename	Strain	Plate	Col	Row	PlateID
150	50+CL58.1.col4.row3.jpeg	50+CL58	1	col4	row3	50+CL58.1
146	50+CL58.2.col1.row1.jpeg	50+CL58	2	col1	row1	50+CL58.2
147	50+CL58.2.col1.row2.jpeg	50+CL58	2	col1	row2	50+CL58.2
143.5	50+CL58.2.col1.row3.jpeg	50+CL58	2	col1	row3	50+CL58.2
143	50+CL58.2.col2.row1.jpeg	50+CL58	2	col2	row1	50+CL58.2
146	50+CL58.2.col2.row2.jpeg	50+CL58	2	col2	row2	50+CL58.2
138	50+CL58.2.col2.row3.jpeg	50+CL58	2	col2	row3	50+CL58.2
142	50+CL58.2.col3.row1.jpeg	50+CL58	2	col3	row1	50+CL58.2
142	50+CL58.2.col3.row2.jpeg	50+CL58	2	col3	row2	50+CL58.2
145	50+CL58.2.col3.row3.jpeg	50+CL58	2	col3	row3	50+CL58.2
127.5	50+CL58.2.col4.row1.jpeg	50+CL58	2	col4	row1	50+CL58.2
141	50+CL58.2.col4.row2.jpeg	50+CL58	2	col4	row2	50+CL58.2
NA	50+CL58.2.col4.row3.jpeg	50+CL58	2	col4	row3	50+CL58.2
143	50+CL58.3.col1.row1.jpeg	50+CL58	3	col1	row1	50+CL58.3
131	50+CL58.3.col1.row2.jpeg	50+CL58	3	col1	row2	50+CL58.3
145	50+CL58.3.col1.row3.jpeg	50+CL58	3	col1	row3	50+CL58.3
146	50+CL58.3.col2.row1.jpeg	50+CL58	3	col2	row1	50+CL58.3
147	50+CL58.3.col2.row2.jpeg	50+CL58	3	col2	row2	50+CL58.3
127.5	50+CL58.3.col2.row3.jpeg	50+CL58	3	col2	row3	50+CL58.3
142	50+CL58.3.col3.row1.jpeg	50+CL58	3	col3	row1	50+CL58.3
145	50+CL58.3.col3.row2.jpeg	50+CL58	3	col3	row2	50+CL58.3
148	50+CL58.3.col3.row3.jpeg	50+CL58	3	col3	row3	50+CL58.3
135	50+CL58.3.col4.row1.jpeg	50+CL58	3	col4	row1	50+CL58.3
146	50+CL58.3.col4.row2.jpeg	50+CL58	3	col4	row2	50+CL58.3
131	50+CL58.3.col4.row3.jpeg	50+CL58	3	col4	row3	50+CL58.3
147	50+CL58.4.col1.row1.jpeg	50+CL58	4	col1	row1	50+CL58.4
151	50+CL58.4.col1.row2.jpeg	50+CL58	4	col1	row2	50+CL58.4
135	50+CL58.4.col1.row3.jpeg	50+CL58	4	col1	row3	50+CL58.4
146	50+CL58.4.col2.row1.jpeg	50+CL58	4	col2	row1	50+CL58.4
144	50+CL58.4.col2.row2.jpeg	50+CL58	4	col2	row2	50+CL58.4
153	50+CL58.4.col2.row3.jpeg	50+CL58	4	col2	row3	50+CL58.4
146	50+CL58.4.col3.row1.jpeg	50+CL58	4	col3	row1	50+CL58.4
150	50+CL58.4.col3.row2.jpeg	50+CL58	4	col3	row2	50+CL58.4
140	50+CL58.4.col3.row3.jpeg	50+CL58	4	col3	row3	50+CL58.4
131	50+CL58.4.col4.row1.jpeg	50+CL58	4	col4	row1	50+CL58.4
147	50+CL58.4.col4.row2.jpeg	50+CL58	4	col4	row2	50+CL58.4
141	50+CL58.4.col4.row3.jpeg	50+CL58	4	col4	row3	50+CL58.4
151	CL58.1.col1.row1.jpeg	CL58	1	col1	row1	CL58.1
NA	CL58.1.col1.row2.jpeg	CL58	1	col1	row2	CL58.1
120	CL58.1.col1.row3.jpeg	CL58	1	col1	row3	CL58.1
135	CL58.1.col2.row1.jpeg	CL58	1	col2	row1	CL58.1
114	CL58.1.col2.row2.jpeg	CL58	1	col2	row2	CL58.1
85	CL58.1.col2.row3.jpeg	CL58	1	col2	row3	CL58.1
140	CL58.1.col3.row1.jpeg	CL58	1	col3	row1	CL58.1
142	CL58.1.col3.row2.jpeg	CL58	1	col3	row2	CL58.1
130	CL58.1.col3.row3.jpeg	CL58	1	col3	row3	CL58.1
137	CL58.1.col4.row1.jpeg	CL58	1	col4	row1	CL58.1
140	CL58.1.col4.row2.jpeg	CL58	1	col4	row2	CL58.1
135	CL58.1.col4.row3.jpeg	CL58	1	col4	row3	CL58.1
NA	CL58.2.col1.row1.jpeg	CL58	2	col1	row1	CL58.2
NA	CL58.2.col1.row2.jpeg	CL58	2	col1	row2	CL58.2
124.5	CL58.2.col1.row3.jpeg	CL58	2	col1	row3	CL58.2
146	CL58.2.col2.row1.jpeg	CL58	2	col2	row1	CL58.2
140	CL58.2.col2.row2.jpeg	CL58	2	col2	row2	CL58.2
NA	CL58.2.col2.row3.jpeg	CL58	2	col2	row3	CL58.2
146	CL58.2.col3.row1.jpeg	CL58	2	col3	row1	CL58.2
149	CL58.2.col3.row2.jpeg	CL58	2	col3	row2	CL58.2
NA	CL58.2.col3.row3.jpeg	CL58	2	col3	row3	CL58.2
NA	CL58.2.col4.row1.jpeg	CL58	2	col4	row1	CL58.2
NA	CL58.2.col4.row2.jpeg	CL58	2	col4	row2	CL58.2
141	CL58.2.col4.row3.jpeg	CL58	2	col4	row3	CL58.2
147	CL58.3.col1.row1.jpeg	CL58	3	col1	row1	CL58.3
145	CL58.3.col1.row2.jpeg	CL58	3	col1	row2	CL58.3
137	CL58.3.col1.row3.jpeg	CL58	3	col1	row3	CL58.3
NA	CL58.3.col2.row1.jpeg	CL58	3	col2	row1	CL58.3
134	CL58.3.col2.row2.jpeg	CL58	3	col2	row2	CL58.3
147	CL58.3.col2.row3.jpeg	CL58	3	col2	row3	CL58.3
141	CL58.3.col3.row1.jpeg	CL58	3	col3	row1	CL58.3
139	CL58.3.col3.row2.jpeg	CL58	3	col3	row2	CL58.3
147	CL58.3.col3.row3.jpeg	CL58	3	col3	row3	CL58.3
141	CL58.3.col4.row1.jpeg	CL58	3	col4	row1	CL58.3
NA	CL58.3.col4.row2.jpeg	CL58	3	col4	row2	CL58.3
143	CL58.3.col4.row3.jpeg	CL58	3	col4	row3	CL58.3
140	CL58.4.col1.row1.jpeg	CL58	4	col1	row1	CL58.4
129	CL58.4.col1.row2.jpeg	CL58	4	col1	row2	CL58.4
154	CL58.4.col1.row3.jpeg	CL58	4	col1	row3	CL58.4
147	CL58.4.col2.row1.jpeg	CL58	4	col2	row1	CL58.4
145	CL58.4.col2.row2.jpeg	CL58	4	col2	row2	CL58.4
135	CL58.4.col2.row3.jpeg	CL58	4	col2	row3	CL58.4
143	CL58.4.col3.row1.jpeg	CL58	4	col3	row1	CL58.4
146	CL58.4.col3.row2.jpeg	CL58	4	col3	row2	CL58.4
146	CL58.4.col3.row3.jpeg	CL58	4	col3	row3	CL58.4
138	CL58.4.col4.row1.jpeg	CL58	4	col4	row1	CL58.4
133	CL58.4.col4.row2.jpeg	CL58	4	col4	row2	CL58.4
137	CL58.4.col4.row3.jpeg	CL58	4	col4	row3	CL58.4
89	na.naB.col1.row1.jpeg	na	naB	col1	row1	na.naB
100	na.naB.col1.row2.jpeg	na	naB	col1	row2	na.naB
92	na.naB.col1.row3.jpeg	na	naB	col1	row3	na.naB
100	na.naB.col2.row1.jpeg	na	naB	col2	row1	na.naB
NA	na.naB.col2.row2.jpeg	na	naB	col2	row2	na.naB
101	na.naB.col2.row3.jpeg	na	naB	col2	row3	na.naB
100	na.naB.col3.row1.jpeg	na	naB	col3	row1	na.naB
94	na.naB.col3.row2.jpeg	na	naB	col3	row2	na.naB
97	na.naB.col3.row3.jpeg	na	naB	col3	row3	na.naB
101	na.naB.col4.row1.jpeg	na	naB	col4	row1	na.naB
NA	na.naB.col4.row2.jpeg	na	naB	col4	row2	na.naB
94	na.naB.col4.row3.jpeg	na	naB	col4	row3	na.naB
81	na.na.col1.row1.jpeg	na	na	col1	row1	na.na
80	na.na.col1.row2.jpeg	na	na	col1	row2	na.na
NA	na.na.col1.row3.jpeg	na	na	col1	row3	na.na
NA	na.na.col2.row1.jpeg	na	na	col2	row1	na.na
NA	na.na.col2.row2.jpeg	na	na	col2	row2	na.na
NA	na.na.col2.row3.jpeg	na	na	col2	row3	na.na
NA	na.na.col3.row1.jpeg	na	na	col3	row1	na.na
NA	na.na.col3.row2.jpeg	na	na	col3	row2	na.na
NA	na.na.col3.row3.jpeg	na	na	col3	row3	na.na
NA	na.na.col4.row1.jpeg	na	na	col4	row1	na.na
NA	na.na.col4.row2.jpeg	na	na	col4	row2	na.na
69	na.na.col4.row3.jpeg	na	na	col4	row3	na.na
