npixels	filename	Strain	Plate	Col	Row	PlateID	Sticker.size	Normalized.size	Hull.area	Normalized.hull.area
3645	50+451.2.col3.row2.jpeg	50+451	2	col3	row2	50+451.2	1522	2.39487516425756	7436	4.88567674113009
1920	50+451.2.col3.row3.jpeg	50+451	2	col3	row3	50+451.2	1522	1.26149802890933	3212.5	2.11070959264126
140	50+451.2.col4.row1.jpeg	50+451	2	col4	row1	50+451.2	1522	0.0919842312746386	226.5	0.148817345597897
20	50+451.2.col4.row2.jpeg	50+451	2	col4	row2	50+451.2	1522	0.0131406044678055	81	0.0532194480946124
1446	50+451.2.col4.row3.jpeg	50+451	2	col4	row3	50+451.2	1522	0.950065703022339	2717.5	1.78547963206307
1584	50+451.3.col1.row1.jpeg	50+451	3	col1	row1	50+451.3	1539	1.02923976608187	2699.5	1.75406107862248
2998	50+451.3.col1.row2.jpeg	50+451	3	col1	row2	50+451.3	1539	1.94801819363223	5509	3.57959714100065
874	50+451.3.col1.row3.jpeg	50+451	3	col1	row3	50+451.3	1539	0.567901234567901	1374.5	0.89311241065627
225	50+451.3.col2.row1.jpeg	50+451	3	col2	row1	50+451.3	1539	0.146198830409357	616	0.400259909031839
1448	50+451.3.col2.row2.jpeg	50+451	3	col2	row2	50+451.3	1539	0.94087069525666	2510	1.63092917478882
39	50+451.3.col2.row3.jpeg	50+451	3	col2	row3	50+451.3	1539	0.0253411306042885	117.5	0.0763482781026641
2392	50+451.3.col3.row1.jpeg	50+451	3	col3	row1	50+451.3	1539	1.55425601039636	9516.5	6.18356075373619
2963	50+451.3.col3.row2.jpeg	50+451	3	col3	row2	50+451.3	1539	1.92527615334633	7514	4.88239116309292
174	50+451.3.col3.row3.jpeg	50+451	3	col3	row3	50+451.3	1539	0.113060428849903	542.5	0.352501624431449
882	50+451.3.col4.row1.jpeg	50+451	3	col4	row1	50+451.3	1539	0.573099415204678	1573	1.0220922677063
88	50+451.3.col4.row2.jpeg	50+451	3	col4	row2	50+451.3	1539	0.0571799870045484	343	0.222871994801819
1	50+451.3.col4.row3.jpeg	50+451	3	col4	row3	50+451.3	1539	0.000649772579597141	15.5	0.0100714749837557
1261	50+451.4.col1.row1.jpeg	50+451	4	col1	row1	50+451.4	1560	0.808333333333333	2224	1.42564102564103
3753	50+451.4.col1.row2.jpeg	50+451	4	col1	row2	50+451.4	1560	2.40576923076923	6135.5	3.93301282051282
1049	50+451.4.col1.row3.jpeg	50+451	4	col1	row3	50+451.4	1560	0.672435897435897	2317	1.48525641025641
578	50+451.4.col2.row1.jpeg	50+451	4	col2	row1	50+451.4	1560	0.370512820512821	1217	0.780128205128205
1605	50+451.4.col2.row2.jpeg	50+451	4	col2	row2	50+451.4	1560	1.02884615384615	3259	2.08910256410256
