green	filename	Strain	Plate	Col	Row	PlateID
NA	CL41.4.col1.row3.jpeg	CL41	4	col1	row3	CL41.4
139	CL41.4.col2.row1.jpeg	CL41	4	col2	row1	CL41.4
146	CL41.4.col2.row2.jpeg	CL41	4	col2	row2	CL41.4
146.5	CL41.4.col2.row3.jpeg	CL41	4	col2	row3	CL41.4
NA	CL41.4.col3.row1.jpeg	CL41	4	col3	row1	CL41.4
NA	CL41.4.col3.row2.jpeg	CL41	4	col3	row2	CL41.4
146	CL41.4.col3.row3.jpeg	CL41	4	col3	row3	CL41.4
152	CL41.4.col4.row1.jpeg	CL41	4	col4	row1	CL41.4
135	CL41.4.col4.row2.jpeg	CL41	4	col4	row2	CL41.4
142	CL41.4.col4.row3.jpeg	CL41	4	col4	row3	CL41.4
147	CL73.1.col1.row1.jpeg	CL73	1	col1	row1	CL73.1
148	CL73.1.col1.row2.jpeg	CL73	1	col1	row2	CL73.1
150	CL73.1.col1.row3.jpeg	CL73	1	col1	row3	CL73.1
NA	CL73.1.col2.row1.jpeg	CL73	1	col2	row1	CL73.1
147	CL73.1.col2.row2.jpeg	CL73	1	col2	row2	CL73.1
149	CL73.1.col2.row3.jpeg	CL73	1	col2	row3	CL73.1
141.5	CL73.1.col3.row1.jpeg	CL73	1	col3	row1	CL73.1
NA	CL73.1.col3.row2.jpeg	CL73	1	col3	row2	CL73.1
NA	CL73.1.col3.row3.jpeg	CL73	1	col3	row3	CL73.1
142	CL73.1.col4.row1.jpeg	CL73	1	col4	row1	CL73.1
140	CL73.1.col4.row2.jpeg	CL73	1	col4	row2	CL73.1
142	CL73.1.col4.row3.jpeg	CL73	1	col4	row3	CL73.1
145	CL73.2.col1.row1.jpeg	CL73	2	col1	row1	CL73.2
144	CL73.2.col1.row2.jpeg	CL73	2	col1	row2	CL73.2
138	CL73.2.col1.row3.jpeg	CL73	2	col1	row3	CL73.2
145	CL73.2.col2.row1.jpeg	CL73	2	col2	row1	CL73.2
143.5	CL73.2.col2.row2.jpeg	CL73	2	col2	row2	CL73.2
148	CL73.2.col2.row3.jpeg	CL73	2	col2	row3	CL73.2
137	CL73.2.col3.row1.jpeg	CL73	2	col3	row1	CL73.2
143	CL73.2.col3.row2.jpeg	CL73	2	col3	row2	CL73.2
146	CL73.2.col3.row3.jpeg	CL73	2	col3	row3	CL73.2
130	CL73.2.col4.row1.jpeg	CL73	2	col4	row1	CL73.2
132	CL73.2.col4.row2.jpeg	CL73	2	col4	row2	CL73.2
NA	CL73.2.col4.row3.jpeg	CL73	2	col4	row3	CL73.2
139	CL73.3.col1.row1.jpeg	CL73	3	col1	row1	CL73.3
147	CL73.3.col1.row2.jpeg	CL73	3	col1	row2	CL73.3
148	CL73.3.col1.row3.jpeg	CL73	3	col1	row3	CL73.3
146	CL73.3.col2.row1.jpeg	CL73	3	col2	row1	CL73.3
144	CL73.3.col2.row2.jpeg	CL73	3	col2	row2	CL73.3
148	CL73.3.col2.row3.jpeg	CL73	3	col2	row3	CL73.3
146	CL73.3.col3.row1.jpeg	CL73	3	col3	row1	CL73.3
145	CL73.3.col3.row2.jpeg	CL73	3	col3	row2	CL73.3
